section_label,sub_section,topic,source,url,notes
Structured Learning Path,Fundamentals,What is a System Design Interview?,Hello Interview,https://www.hellointerview.com/learn/system-design/in-a-hurry/introduction,"Read/watch once to understand how the interview is graded, the signals interviewers look for, and common failure modes."
Structured Learning Path,Fundamentals,Delivery framework (how to structure any answer),Hello Interview,https://www.hellointerview.com/learn/system-design/in-a-hurry/delivery,Requirements (functional/non-functional) -> capacity estimation only when numbers change the design -> high-level design -> deep dives -> wrap-up/trade-offs. Internalize it; do not narrate timings mechanically.
Structured Learning Path,Fundamentals,Networking & API design,ByteByteGo,https://bytebytego.com/guides/what-is-a-load-balancer,Know L4 vs L7 load balancing and when each applies; REST basics; API gateway responsibilities; polling vs SSE vs WebSocket conceptually. Skip deep TCP/HTTP2 internals.
Structured Learning Path,Fundamentals,Networking & API design,Hello Interview,https://www.hellointerview.com/learn/system-design/core-concepts/networking-essentials,Know L4 vs L7 load balancing and when each applies; REST basics; API gateway responsibilities; polling vs SSE vs WebSocket conceptually. Skip deep TCP/HTTP2 internals.
Structured Learning Path,Fundamentals,Networking & API design,Hello Interview YouTube,https://www.youtube.com/watch?v=SHkbPm1Wrno,Know L4 vs L7 load balancing and when each applies; REST basics; API gateway responsibilities; polling vs SSE vs WebSocket conceptually. Skip deep TCP/HTTP2 internals.
Structured Learning Path,Fundamentals,Networking & API design,ByteByteGo 2,https://bytebytego.com/guides/8-tips-for-efficient-api-design,Know L4 vs L7 load balancing and when each applies; REST basics; API gateway responsibilities; polling vs SSE vs WebSocket conceptually. Skip deep TCP/HTTP2 internals.
Structured Learning Path,Fundamentals,Networking & API design,Hello Interview 2,https://www.hellointerview.com/learn/system-design/core-concepts/api-design,Know L4 vs L7 load balancing and when each applies; REST basics; API gateway responsibilities; polling vs SSE vs WebSocket conceptually. Skip deep TCP/HTTP2 internals.
Structured Learning Path,Fundamentals,Networking & API design,Hello Interview YouTube 2,https://www.youtube.com/watch?v=DQ57zYedMdQ,Know L4 vs L7 load balancing and when each applies; REST basics; API gateway responsibilities; polling vs SSE vs WebSocket conceptually. Skip deep TCP/HTTP2 internals.
Structured Learning Path,Fundamentals,Data modeling,ByteByteGo,https://bytebytego.com/guides/8-data-structures-that-power-your-databases,"Sketch entities, relationships, and access patterns for a problem. Understand denormalization as a read-performance trade-off. Do not memorize normalization forms."
Structured Learning Path,Fundamentals,Data modeling,Hello Interview,https://www.hellointerview.com/learn/system-design/core-concepts/data-modeling,"Sketch entities, relationships, and access patterns for a problem. Understand denormalization as a read-performance trade-off. Do not memorize normalization forms."
Structured Learning Path,Fundamentals,Data modeling,Hello Interview YouTube,https://www.youtube.com/watch?v=TUcPS6dsWx4,"Sketch entities, relationships, and access patterns for a problem. Understand denormalization as a read-performance trade-off. Do not memorize normalization forms."
Structured Learning Path,Fundamentals,Choosing & indexing databases,ByteByteGo,https://bytebytego.com/guides/how-to-choose-the-right-database,Know SQL vs NoSQL trade-offs and justify a choice. Understand that indexes speed reads at the cost of write/storage overhead; no need for B-tree internals.
Structured Learning Path,Fundamentals,Choosing & indexing databases,Hello Interview,https://www.hellointerview.com/learn/system-design/core-concepts/db-indexing,Know SQL vs NoSQL trade-offs and justify a choice. Understand that indexes speed reads at the cost of write/storage overhead; no need for B-tree internals.
Structured Learning Path,Fundamentals,Choosing & indexing databases,Hello Interview YouTube,https://www.youtube.com/watch?v=BHCSL_ZifI0,Know SQL vs NoSQL trade-offs and justify a choice. Understand that indexes speed reads at the cost of write/storage overhead; no need for B-tree internals.
Structured Learning Path,Fundamentals,Caching,ByteByteGo,https://bytebytego.com/guides/top-5-caching-strategies,Cache-aside vs write-through vs write-back; TTL/eviction policies such as LRU; cache placement (CDN/app/DB layer); cache misses; staleness handling.
